"","ï..fileNumber","fileName","dreamID","nCells","ground","rec","pred","pred_adj"
"1",1,"s1_c1_data",1,9,"((((1_2012212021:8,2_2112212021:8):38,(3_2112212021:4,4_2112212021:4):42):42,(5_0012212221:1,6_0012012221:1):87):46,((8_2120010021:22,9_2120010021:22):51,10_0112212221:74):62);","(((1_2012212021:0.352885614,(2_2112212021:0.2878748513,(3_2112212021:0.2878748513,4_2112212021:0.2878748513):0):0.06501076267):0.3028150686,((5_0012212221:0.3476539115,10_0112212221:0.3476539115):0.1021496084,6_0012012221:0.4498035199):0.2058971627):0.2292344581,(8_2120010021:0.2839299162,9_2120010021:0.2839299162):0.6010052244);","((8_2120010021:0,9_2120010021:0):5.065,((1_2012212021:0.5,(4_2112212021:0,(2_2112212021:0,3_2112212021:0):0):0.5):2.44,(6_0012012221:1.385,(5_0012212221:0.5,10_0112212221:0.5):0.885):1.555):2.125);","((8_2120010021:0,9_2120010021:0):62.58038239,((10_0112212221:17.79967722,(4_2112212021:0,(2_2112212021:0,3_2112212021:0):0):17.79967722):17.59477601,(1_2012212021:23.31663926,(5_0012212221:11.03392407,6_0012012221:11.03392407):12.28271519):12.07781398):27.18592915);"
"2",3,"s10_c1_data",2,12,"(((1_1112212001:35,2_1112212001:35):47,(3_1112212001:30,4_1112212001:30):52):107,(((5_1102000001:23,6_2100012001:23):57,(7_1111111021:22,8_1111111021:22):58):65,((9_1111111121:22,10_1111111121:22):55,(11_1111111121:17,12_1111111121:17):60):68):44);","(((4_1112212001:62.5,(3_1112212001:41.66666667,(1_1112212001:20.83333333,2_1112212001:20.83333333)2:20.83333333)2:20.83333333)1:20.83333333,((7_1111111021:33.33333333,8_1111111021:33.33333333)1:33.33333333,(12_1111111121:50,(11_1111111121:33.33333333,(9_1111111121:16.66666667,10_1111111121:16.66666667)2:16.66666667)2:16.66666667)2:16.66666667)2:16.66666667)1:16.66666667,(5_1102000001:50,6_2100012001:50)2:50)Root;","(((7_1111111021:0,8_1111111021:0):0.5,(12_1111111121:0,(11_1111111121:0,(9_1111111121:0,10_1111111121:0):0):0):0.5):3.139166667,(6_2100012001:3.405,(5_1102000001:3.27,(4_1112212001:0,(3_1112212001:0,(1_1112212001:0,2_1112212001:0):0):0):3.27):0.135):0.2341666667);","(5_1102000001:41.13266005,(((7_1111111021:0,8_1111111021:0):3.186722,(12_1111111121:0,(11_1111111121:0,(9_1111111121:0,10_1111111121:0):0):0):3.186722):30.28256253,(6_2100012001:29.90802733,(4_1112212001:0,(3_1112212001:0,(1_1112212001:0,2_1112212001:0):0):0):29.90802733):3.561257195):7.663375516);"
"3",6,"s10_c4_data",3,10,"(((1_2120211221:39,2_2120212221:39):49,(3_2110100021:44,4_2110100021:44):44):68,(((5_1110112221:4,6_1110112221:4):37,(7_1110111221:4,8_1110111221:4):37):48,(9_0111111221:39,10_1111111221:39):51):66);","(((1_2120211221:40,2_2120212221:40)1:40,((9_0111111221:30,10_1111111221:30)1:30,((5_1110112221:20,6_1110112221:20)1:20,(7_1110111221:20,8_1110111221:20)2:20)2:20)2:20)1:20,(3_2110100021:50,4_2110100021:50)2:50)Root;","((3_2110100021:0,4_2110100021:0):3.354375,((1_2120211221:0.635,2_2120212221:0.635):1.8375,(9_0111111221:1.154,((5_1110112221:0,6_1110112221:0):0.8016666667,(10_1111111221:0.5,(7_1110111221:0,8_1110111221:0):0.5):0.3016666667):0.3523333333):1.3185):0.881875);","((3_2110100021:0,4_2110100021:0):36.7793736,((1_2120211221:12.34632913,2_2120212221:12.34632913):14.0846993,((5_1110112221:0,6_1110112221:0):15.28774326,(9_0111111221:7.024915833,(10_1111111221:3.5555555,(7_1110111221:0,8_1110111221:0):3.5555555):3.469360333):8.262827422):11.14328517):10.34834517);"
"4",7,"s10_c5_data",4,10,"(((1_2102111221:8,2_2102111221:8):42,(3_2102010221:10,4_2102010221:10):40):102,(((9_1112011121:3,10_1112011121:3):44,(11_1112010021:2,12_1112011021:2):45):48,(13_0210012201:42,14_0210012201:42):54):57);","((((9_1112011121:25,10_1112011121:25)1:25,(12_1112011021:25,11_1112010021:25)2:25)1:25,((3_2102010221:25,4_2102010221:25)1:25,(1_2102111221:25,2_2102111221:25)2:25)2:25)1:25,(13_0210012201:50,14_0210012201:50)2:50)Root;","((13_0210012201:0,14_0210012201:0):5.3625,((11_1112010021:0.8333333333,(12_1112011021:0.5,(9_1112011121:0,10_1112011121:0):0.5):0.3333333333):1.686666667,((1_2102111221:0,2_2102111221:0):1,(3_2102010221:0,4_2102010221:0):1):1.52):2.8425);","((13_0210012201:0,14_0210012201:0):71.85146034,((11_1112010021:11.84600033,(12_1112011021:3.186722,(9_1112011121:0,10_1112011121:0):3.186722):8.659278333):11.88862914,((1_2102111221:0,2_2102111221:0):14.5822785,(3_2102010221:0,4_2102010221:0):14.5822785):9.152350975):48.11683087);"
"5",9,"s12_c1_data",5,8,"(((1_0101001001:32,2_2101101000:32):54,(3_2100101000:33,4_2100101000:33):53):49,((5_1101201221:44,6_2101001000:44):42,(7_1111001001:46,8_1111001021:46):40):49);","(((1_0101001001:0.4149613089,7_1111001001:0.4149613089):0.1641316947,((2_2101101000:0.3444289204,6_2101001000:0.3444289204):0.05052288122,(3_2100101000:0.2900967091,4_2100101000:0.2900967091):0.1048550926):0.184141202):0.1428684831,(5_1101201221:0.5853567862,8_1111001021:0.5853567862):0.1366047005);","(5_1101201221:4.034285714,((6_2101001000:0.8333333333,(2_2101101000:0.5,(3_2100101000:0,4_2100101000:0):0.5):0.3333333333):1.805,(8_1111001021:1.635,(1_0101001001:1,7_1111001001:1):0.635):1.003333333):1.395952381);","(5_1101201221:32.87260123,((6_2101001000:7.231129833,(2_2101101000:3.5555555,(3_2100101000:0,4_2100101000:0):3.5555555):3.675574333):19.11736402,(1_0101001001:12.84808329,(7_1111001001:6.60363657,8_1111001021:6.60363657):6.244446715):13.50041056):6.524107378);"
"6",11,"s12_c3_data",6,4,"((1_2100111000:31,2_2100101000:31):48,(3_2100101000:30,4_2100101000:30):49);","(1_2100111000:0.342772537,(2_2100101000:0.2900967091,(3_2100101000:0.2900967091,4_2100101000:0.2900967091):0):0.05267582796);","(1_2100111000:0.5,(4_2100101000:0,(2_2100101000:0,3_2100101000:0):0):0.5);","(1_2100111000:6.1935485,(4_2100101000:0,(2_2100101000:0,3_2100101000:0):0):6.1935485);"
"7",13,"s13_c1_data",7,39,"(((((1_2110101001:41,2_2112111221:41):47,(3_2100101000:38,4_2102110021:38):50):49,((5_2112111221:28,6_2112111221:28):56,(7_1111001211:30,8_1111001211:30):54):53):48,(((9_2112111211:24,10_0112210011:24):50,12_2112101000:74):64,((13_2000100021:35,14_2000100021:35):48,(15_2100101021:30,16_2100101021:30):53):55):47):26,(((((17_2111101021:24,18_2111101021:24):34,(19_2111101011:24,20_2111101011:24):34):38,((21_2111101021:27,22_2110101021:27):32,(23_2111101001:24,24_2112111001:24):35):37):49,(((25_1101001020:23,26_1111001000:23):33,(27_2102111000:19,28_1112011011:19):37):41,((29_1111101021:18,30_2100101021:18):33,(31_1112211011:16,32_1112211011:16):35):46):48):43,(((33_1122111121:4,34_1112011201:4):40,(35_1111201221:10,36_2101101000:10):34):94,((43_2112111001:17,44_2112111001:17):34,(45_2112111001:18,46_2112111000:18):33):87):50):22);","(((((29_1111101021:42.85714286,(21_2111101021:28.57142857,(17_2111101021:14.28571429,18_2111101021:14.28571429)2:14.28571429)2:14.28571429)1:14.28571429,((19_2111101011:19.04761905,20_2111101011:19.04761905)1:19.04761905,(1_2110101001:19.04761905,23_2111101001:19.04761905)2:19.04761905)2:19.04761905)1:14.28571429,((22_2110101021:42.85714286,(30_2100101021:28.57142857,(15_2100101021:14.28571429,16_2100101021:14.28571429)2:14.28571429)2:14.28571429)1:14.28571429,(4_2102110021:38.0952381,(13_2000100021:19.04761905,14_2000100021:19.04761905)2:19.04761905)2:19.04761905)2:14.28571429)1:14.28571429,((45_2112111001:53.57142857,(44_2112111001:35.71428571,(24_2112111001:17.85714286,43_2112111001:17.85714286)2:17.85714286)2:17.85714286)1:17.85714286,((26_1111001000:28.57142857,25_1101001020:28.57142857)1:28.57142857,((3_2100101000:21.42857143,36_2101101000:21.42857143)1:21.42857143,(27_2102111000:28.57142857,(12_2112101000:14.28571429,46_2112111000:14.28571429)2:14.28571429)2:14.28571429)2:14.28571429)2:14.28571429)2:14.28571429)1:14.28571429,((33_1122111121:66.66666667,(9_2112111211:50,(6_2112111221:33.33333333,(2_2112111221:16.66666667,5_2112111221:16.66666667)2:16.66666667)2:16.66666667)2:16.66666667)1:16.66666667,((10_0112210011:44.44444444,(31_1112211011:22.22222222,32_1112211011:22.22222222)2:22.22222222)1:22.22222222,((34_1112011201:25,28_1112011011:25)1:25,(35_1111201221:33.33333333,(7_1111001211:16.66666667,8_1111001211:16.66666667)2:16.66666667)2:16.66666667)2:16.66666667)2:16.66666667)2:16.66666667)Root;","(((25_1101001020:1.635,26_1111001000:1.635):1.315208333,(((27_2102111000:0.9166666667,((45_2112111001:0,(44_2112111001:0,(24_2112111001:0,43_2112111001:0):0):0):0.75,(12_2112101000:0.5,46_2112111000:0.5):0.25):0.1666666667):0.8969047619,((1_2110101001:0.5,23_2111101001:0.5):0.75,(3_2100101000:0.5,36_2101101000:0.5):0.75):0.5635714286):0.8311838162,(4_2102110021:2.335416667,((29_1111101021:0.889,((21_2111101021:0,(17_2111101021:0,18_2111101021:0):0):0.635,(19_2111101011:0,20_2111101011:0):0.635):0.254):0.6785,((13_2000100021:0,14_2000100021:0):1.125,(22_2110101021:0.5,(30_2100101021:0,(15_2100101021:0,16_2100101021:0):0):0.5):0.625):0.4425):0.7679166667):0.3093385781):0.3054530886):0.4969662229,((28_1112011011:1.468333333,(10_0112210011:1,(31_1112211011:0,32_1112211011:0):1):0.4683333333):1.634861111,((33_1122111121:2.06375,(9_2112111211:0.635,(6_2112111221:0,(2_2112111221:0,5_2112111221:0):0):0.635):1.42875):0.621,(35_1111201221:2.315,(34_1112011201:1.635,(7_1111001211:0,8_1111001211:0):1.635):0.68):0.36975):0.4184444444):0.3439801118);","((13_2000100021:0,14_2000100021:0):52.43389759,(((35_1111201221:14.72846964,(7_1111001211:0,8_1111001211:0):14.72846964):10.4050562,(((30_2100101021:0,(15_2100101021:0,16_2100101021:0):0):10.60244456,(29_1111101021:9.374707195,((22_2110101021:3.5555555,(21_2111101021:0,(17_2111101021:0,18_2111101021:0):0):3.5555555):2.926868883,(1_2110101001:5.4949495,(23_2111101001:2.909091,(19_2111101011:0,20_2111101011:0):2.909091):2.5858585):0.9874748825):2.892282813):1.227737368):11.56507145,((3_2100101000:3.5555555,36_2101101000:3.5555555):14.74193257,(25_1101001020:11.49535607,26_1111001000:11.49535607):6.802132):3.870027947):2.966009817):3.320107718,(4_2102110021:26.42581649,((10_0112210011:14.3760645,(31_1112211011:0,32_1112211011:0):14.3760645):10.40699288,(((45_2112111001:0,(44_2112111001:0,(24_2112111001:0,43_2112111001:0):0):0):11.69508933,(12_2112101000:8.63940825,(27_2102111000:4.8917195,46_2112111000:4.8917195):3.74768875):3.055681083):8.35374411,((28_1112011011:10.14294994,34_1112011201:10.14294994):8.716435967,(33_1122111121:17.09452988,(9_2112111211:3.69454557,(6_2112111221:0,(2_2112111221:0,5_2112111221:0):0):3.69454557):13.39998431):1.764856025):1.189447536):4.734223935):1.642759109):2.027817065):23.98026404);"
"8",14,"s13_c2_data",8,18,"((((1_1110001221:39,2_1110001221:39):87,((3_2110101221:33,4_2120101221:33):44,(5_2112111221:34,6_2112111221:34):43):49):44,(((7_2111101201:37,8_2111101201:37):44,(9_2112111201:38,10_2112111201:38):43):44,((11_2112111221:35,12_2112111221:35):45,(13_1112111221:35,14_2112111221:35):45):45):45):41,((15_2110101021:19,16_2110101021:19):151,(17_2100101000:130,24_2100101000:130):40):41);","((((1_1110001221:29.16666667,2_1110001221:29.16666667)1:29.16666667,(3_2110101221:29.16666667,4_2120101221:29.16666667)2:29.16666667)1:29.16666667,((13_1112111221:62.5,(14_2112111221:50,(12_2112111221:37.5,(11_2112111221:25,(5_2112111221:12.5,6_2112111221:12.5)2:12.5)2:12.5)2:12.5)2:12.5)1:12.5,((9_2112111201:25,10_2112111201:25)1:25,(7_2111101201:25,8_2111101201:25)2:25)2:25)2:12.5)1:12.5,((17_2100101000:33.33333333,24_2100101000:33.33333333)1:33.33333333,(15_2110101021:33.33333333,16_2110101021:33.33333333)2:33.33333333)2:33.33333333)Root;","((17_2100101000:0,24_2100101000:0):3.945625,(((13_1112111221:0.635,(14_2112111221:0,(12_2112111221:0,(11_2112111221:0,(5_2112111221:0,6_2112111221:0):0):0):0):0.635):1.173333333,((7_2111101201:0,8_2111101201:0):1.135,(9_2112111201:0,10_2112111201:0):1.135):0.6733333333):0.9373333333,((15_2110101021:0,16_2110101021:0):1.86125,((1_1110001221:0,2_1110001221:0):1.4525,(3_2110101221:0.635,4_2120101221:0.635):0.8175):0.40875):0.8844166667):1.199958333);","((17_2100101000:0,24_2100101000:0):33.8550865,(((9_2112111201:0,10_2112111201:0):7.588848701,(13_1112111221:5.911272785,(14_2112111221:0,(12_2112111221:0,(11_2112111221:0,(5_2112111221:0,6_2112111221:0):0):0):0):5.911272785):1.677575916):13.91077345,((1_1110001221:0,2_1110001221:0):17.60512992,((7_2111101201:0,8_2111101201:0):15.32924248,((15_2110101021:0,16_2110101021:0):10.34010082,(3_2110101221:6.212483765,4_2120101221:6.212483765):4.127617058):4.989141659):2.275887435):3.894492234):12.35546435);"
"9",17,"s14_c2_data",9,15,"(((2_1100001000:58,(3_1100010000:14,4_1100001000:14):44):48,((5_1102111000:18,6_2100111000:18):44,(7_1100101000:20,8_1100001000:20):42):44):48,(((9_2120100100:9,10_2220102101:9):39,(11_2220102200:10,12_2100101000:10):38):50,((13_2020100101:6,14_2020100101:6):48,(15_2020100101:17,16_2020100101:17):37):44):56);","(((3_1100010000:60,(8_1100001000:40,(2_1100001000:20,4_1100001000:20)2:20)2:20)1:20,(5_1102111000:60,(6_2100111000:40,(7_1100101000:20,12_2100101000:20)2:20)2:20)2:20)1:20,((10_2220102101:41.66666667,11_2220102200:41.66666667)1:41.66666667,(9_2120100100:66.66666667,(16_2020100101:50,(15_2020100101:33.33333333,(13_2020100101:16.66666667,14_2020100101:16.66666667)2:16.66666667)2:16.66666667)2:16.66666667)2:16.66666667)2:16.66666667)Root;","((5_1102111000:2.030714286,((6_2100111000:0.5,12_2100101000:0.5):0.885,(3_1100010000:1.125,(7_1100101000:0.5,(8_1100001000:0,(2_1100001000:0,4_1100001000:0):0):0.5):0.625):0.26):0.6457142857):2.086696429,((9_2120100100:1,(16_2020100101:0,(15_2020100101:0,(13_2020100101:0,14_2020100101:0):0):0):1):1.7375,(10_2220102101:1.135,11_2220102200:1.135):1.6025):1.379910714);","((10_2220102101:12.04713694,11_2220102200:12.04713694):59.53550046,((3_1100010000:19.76501001,(5_1102111000:17.63320541,((7_1100101000:4.8607595,(8_1100001000:0,(2_1100001000:0,4_1100001000:0):0):4.8607595):7.79285716,(6_2100111000:6.1935485,12_2100101000:6.1935485):6.46006816):4.979588753):2.131804595):36.69421508,(9_2120100100:29.3333335,(16_2020100101:0,(15_2020100101:0,(13_2020100101:0,14_2020100101:0):0):0):29.3333335):27.12589159):15.12341231);"
"10",18,"s14_c3_data",10,9,"(((1_2120101121:18,2_2120101121:18):91,((5_2110101210:22,6_2100101210:22):38,(7_2100101200:17,8_2100101200:17):43):49):56,((9_2100101000:9,10_2102111000:9):102,12_2100101000:112):54);","((1_2120101121:0.2939271129,2_2120101121:0.2939271129):0.5094557162,(((5_2110101210:0.3459858968,6_2100101210:0.3459858968):0.1534067817,((7_2100101200:0.2901095859,8_2100101200:0.2901095859):0.1032820353,(9_2100101000:0.2900967091,12_2100101000:0.2900967091):0.1032949122):0.1060010573):0.1743106079,10_2102111000:0.6737032864):0.1296795427);","((1_2120101121:0,2_2120101121:0):3.366428571,(10_2102111000:2.641666667,((9_2100101000:0,12_2100101000:0):1.51,((7_2100101200:0,8_2100101200:0):0.75,(5_2110101210:0.5,6_2100101210:0.5):0.25):0.76):1.131666667):0.7247619048);","((1_2120101121:0,2_2120101121:0):29.89405008,(10_2102111000:20.8722157,((9_2100101000:0,12_2100101000:0):9.911334315,(5_2110101210:6.8311135,(6_2100101210:2.909091,(7_2100101200:0,8_2100101200:0):2.909091):3.9220225):3.080220815):10.96088138):9.021834389);"
