fileNumber,fileName,dreamID,nCells,ground,rec
2,s1_c2_data,1,4,"((1_2012210001:29,2_2012210001:29):51,(3_2212210001:29,4_2112210001:29):51);","(((1_2012210001:0.2845811716,2_2012210001:0.2845811716):0.06745990453,4_2112210001:0.3520410761):0.05180365419,3_2212210001:0.4038447303);"
4,s10_c2_data,2,19,"(((((1_1111211121:5,2_1111211121:5):47,(3_1112111121:10,4_1112111021:10):42):53,((5_0110212021:5,6_0110212021:5):52,(7_0110212111:14,8_0110212101:14):43):48):45,((9_1111111111:41,10_1111111111:41):54,(11_1111111121:41,12_1111111121:41):54):56):41,(((13_1111211021:27,14_1111211121:27):62,15_1111011001:89):62,((17_2110212011:40,18_2110111011:40):55,(19_1110011221:40,20_1120211221:40):55):56):41);","((((5_0110212021:28.57142857,6_0110212021:28.57142857)1:28.57142857,(7_0110212111:28.57142857,8_0110212101:28.57142857)2:28.57142857)1:28.57142857,((19_1110011221:35.71428571,20_1120211221:35.71428571)1:35.71428571,((13_1111211021:42.85714286,(14_1111211121:28.57142857,(1_1111211121:14.28571429,2_1111211121:14.28571429)2:14.28571429)2:14.28571429)1:14.28571429,((3_1112111121:21.42857143,4_1112111021:21.42857143)1:21.42857143,((11_1111111121:14.28571429,12_1111111121:14.28571429)1:14.28571429,(9_1111111111:14.28571429,10_1111111111:14.28571429)2:14.28571429)2:14.28571429)2:14.28571429)2:14.28571429)2:14.28571429)1:14.28571429,(15_1111011001:66.66666667,(17_2110212011:33.33333333,18_2110111011:33.33333333)2:33.33333333)2:33.33333333)Root;"
5,s10_c3_data,3,20,"(((((1_2112211021:18,2_2112211021:18):44,(3_2112211021:19,4_2112211021:19):43):66,((5_2112211021:7,6_2112211021:7):50,(7_2112211021:4,8_2112211021:4):53):71):50,(12_1111111111:136,((13_2110211111:30,14_2110211111:30):48,(15_2111211121:28,16_2111211121:28):50):58):42):33,(((17_0011011221:33,18_1111011221:33):41,(19_1112011221:29,20_1112011221:29):45):48,((21_1110111121:6,22_2100211221:6):68,23_2112210021:74):48):89);","(((23_2112210021:80,(8_2112211021:70,(7_2112211021:60,(6_2112211021:50,(5_2112211021:40,(4_2112211021:30,(3_2112211021:20,(1_2112211021:10,2_2112211021:10)2:10)2:10)2:10)2:10)2:10)2:10)2:10)1:10,(22_2100211221:67.5,((15_2111211121:22.5,16_2111211121:22.5)1:22.5,(13_2110211111:22.5,14_2110211111:22.5)2:22.5)2:22.5)2:22.5)1:10,((12_1111111111:40,21_1110111121:40)1:40,(17_0011011221:60,(18_1111011221:40,(19_1112011221:20,20_1112011221:20)2:20)2:20)2:20)2:20)Root;"
8,s11_c1_data,4,6,"((1_2202210001:61,2_2202000001:61):124,((3_2221012200:50,4_2221012221:50):69,(5_2100000012:48,6_2020000001:48):71):66);","(((1_2202210001:0.4059306243,2_2202000001:0.4059306243):0.267035117,(5_2100000012:0.5014433559,6_2020000001:0.5014433559):0.1715223855):0.08004335531,(3_2221012200:0.3992725462,4_2221012221:0.3992725462):0.3537365505);"
10,s12_c2_data,5,4,"((1_2102111000:15,2_2100111000:15):52,(3_2100101000:22,4_2100001000:22):45);","(1_2102111000:0.5032868538,(2_2100111000:0.3937923222,(3_2100101000:0.3403268779,4_2100001000:0.3403268779):0.05346544429):0.1094945316);"
12,s12_c4_data,6,20,"((((1_0112211001:19,2_0102211001:19):42,(3_0122210001:20,4_0122211101:20):41):46,(7_2102211221:17,8_2002211221:17):90):104,(((9_2111111211:12,10_2111111111:12):110,((11_0122202200:25,12_0122211221:25):50,(13_0102211201:28,14_0102200201:28):47):47):46,(((15_2101101101:32,16_2121101101:32):44,(17_2101101221:33,18_2101101221:33):43):46,((19_2011210021:29,20_2101200021:29):49,(21_2111101001:27,22_2111101001:27):51):44):46):43);","((((1_0112211001:25,2_0102211001:25)1:25,(3_0122210001:25,4_0122211101:25)2:25)1:25,((13_0102211201:25,14_0102200201:25)1:25,(11_0122202200:25,12_0122211221:25)2:25)2:25)1:25,(((9_2111111211:30,10_2111111111:30)1:30,((21_2111101001:20,22_2111101001:20)1:20,(15_2101101101:20,16_2121101101:20)2:20)2:20)1:20,((19_2011210021:30,20_2101200021:30)1:30,((17_2101101221:20,18_2101101221:20)1:20,(7_2102211221:20,8_2002211221:20)2:20)2:20)2:20)2:20)Root;"
15,s13_c3_data,7,9,"(((1_0102011000:31,2_2002111000:31):97,((5_2102111021:39,6_2102111021:39):44,(7_2100101000:34,8_2002110021:34):49):45):43,(9_2100101000:109,(11_2100101000:66,12_2100101000:66):43):63);","((1_0102011000:0.4978258752,2_2002111000:0.4978258752):0.2024145244,(((5_2102111021:0.2930788695,6_2102111021:0.2930788695):0.1314054921,8_2002110021:0.4244843616):0.2757560381,(7_2100101000:0.2900967091,(9_2100101000:0.2900967091,(11_2100101000:0.2900967091,12_2100101000:0.2900967091):0):0):0.4101436906):0);"
16,s13_c4_data,8,19,"(((1_2102111000:136,(2_2100101000:11,3_2100101000:11):124):45,(((4_2121101121:4,5_2121101121:4):69,(6_2121101101:12,7_2121101101:12):61):57,((8_2211100221:12,13_2111101221:12):63,(15_2110101221:22,16_2111101221:22):53):55):50):31,(((17_2122111100:35,18_2122111100:35):43,(19_2122111100:24,20_2122111100:24):54):53,((21_0111001001:17,22_0111001001:17):59,(23_2101101001:21,24_0101001001:21):55):55):80);","(((24_0101001001:53.33333333,(21_0111001001:26.66666667,22_0111001001:26.66666667)2:26.66666667)1:26.66666667,(1_2102111000:60,(23_2101101001:40,(2_2100101000:20,3_2100101000:20)2:20)2:20)2:20)1:20,((20_2122111100:62.5,(19_2122111100:41.66666667,(17_2122111100:20.83333333,18_2122111100:20.83333333)2:20.83333333)2:20.83333333)1:20.83333333,(((4_2121101121:22.22222222,5_2121101121:22.22222222)1:22.22222222,(6_2121101101:22.22222222,7_2121101101:22.22222222)2:22.22222222)1:22.22222222,(8_2211100221:50,(15_2110101221:33.33333333,(13_2111101221:16.66666667,16_2111101221:16.66666667)2:16.66666667)2:16.66666667)2:16.66666667)2:16.66666667)2:16.66666667)Root;"
22,s15_c1_data,9,13,"(((2_2102111000:87,(3_2100101000:30,4_0100001000:30):57):56,((5_0122011101:36,6_0112011201:36):56,(7_0122011101:39,8_0112011201:39):53):51):45,(((9_1212210021:23,10_0112011021:23):56,(11_2212110021:28,12_2212110021:28):51):53,(13_0110201021:25,14_0110201021:25):107):56);","((2_2102111000:66.66666667,(3_2100101000:33.33333333,4_0100001000:33.33333333)2:33.33333333)1:33.33333333,((10_0112011021:60,((6_0112011201:20,8_0112011201:20)1:20,(5_0122011101:20,7_0122011101:20)2:20)2:20)1:20,((13_0110201021:30,14_0110201021:30)1:30,(9_1212210021:40,(11_2212110021:20,12_2212110021:20)2:20)2:20)2:20)2:20)Root;"
25,s15_c4_data,10,14,"(((1_2001120012:11,2_2001120012:11):112,((4_2100121100:9,5_2120121100:9):48,(6_2120121100:15,7_2120121100:15):42):66):56,(((8_0122011121:20,9_2102111000:20):44,(10_2122111221:21,11_2122111221:21):43):58,((12_2102111221:24,13_2102111221:24):48,(14_2112111221:22,15_2102112221:22):50):50):57);","(((4_2100121100:60,(7_2120121100:40,(5_2120121100:20,6_2120121100:20)2:20)2:20)1:20,(9_2102111000:53.33333333,(1_2001120012:26.66666667,2_2001120012:26.66666667)2:26.66666667)2:26.66666667)1:20,(8_0122011121:80,((15_2102112221:40,(12_2102111221:20,13_2102111221:20)2:20)1:20,(14_2112111221:40,(10_2122111221:20,11_2122111221:20)2:20)2:20)2:20)2:20)Root;"
