"","RF.gt.rec","RF.gt.pred","RF.gt.pred.adj","RF.rec.pred","RF.rec.pred.adj"
"1",0.5,0.666666666666667,0.666666666666667,0.166666666666667,0.666666666666667
"2",0.333333333333333,0.444444444444444,0.444444444444444,0.111111111111111,0.111111111111111
"3",1,0.285714285714286,0.285714285714286,0.285714285714286,0.285714285714286
"4",1,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143
"5",0.8,0.8,0.6,0.4,0.6
"6",1,0,0,0,0
"7",0.805555555555556,0.805555555555556,0.805555555555556,0.388888888888889,0.388888888888889
"8",0.4,0.466666666666667,0.533333333333333,0.0666666666666667,0.266666666666667
"9",0.833333333333333,0.833333333333333,0.833333333333333,0.333333333333333,0.333333333333333
"10",0.5,0.333333333333333,0.5,0.166666666666667,0.333333333333333
"11",0.25,0.5,0.5,0.25,0.25
"12",0.636363636363636,0.681818181818182,0.727272727272727,0.181818181818182,0.318181818181818
"13",0.5,0.625,0.625,0.375,0.375
"14",0.8125,0.8125,0.75,0.1875,0.375
"15",0.5,0.5,0.5,1,1
"16",0.571428571428571,0.714285714285714,0.571428571428571,0.285714285714286,0.142857142857143
"17",0.555555555555556,0.555555555555556,0.555555555555556,0.111111111111111,1
"18",0.588235294117647,0.588235294117647,0.588235294117647,0.117647058823529,0.176470588235294
"19",0.888888888888889,0.944444444444444,0.833333333333333,0.222222222222222,0.333333333333333
"20",1,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333
"21",0.5,0.25,0.25,0.25,0.25
"22",1,1,0.166666666666667,1,0.166666666666667
"23",0.142857142857143,0.142857142857143,0.142857142857143,1,1
"24",0.666666666666667,0.666666666666667,0.666666666666667,0.166666666666667,0.5
"25",0.125,0.125,0.125,1,1
"26",0.882352941176471,0.941176470588235,0.882352941176471,0.294117647058824,0.529411764705882
"27",0.416666666666667,0.5,0.5,0.166666666666667,0.166666666666667
"28",0.666666666666667,0.666666666666667,0.888888888888889,0.111111111111111,0.444444444444444
"29",0.583333333333333,0.666666666666667,0.75,0.166666666666667,0.333333333333333
"30",0.909090909090909,0.909090909090909,0.909090909090909,0.0909090909090909,0.0909090909090909
"31",0.67741935483871,0.67741935483871,0.67741935483871,0.290322580645161,0.387096774193548
"32",0.5,0.666666666666667,0.833333333333333,0.166666666666667,0.666666666666667
"33",0.565217391304348,0.521739130434783,0.608695652173913,0.0869565217391304,0.260869565217391
"34",0.25,0.25,0.25,1,1
"35",0.5,0.6,0.5,0.1,1
"36",0.833333333333333,0.833333333333333,0.833333333333333,0.333333333333333,0.5
"37",0.8125,0.9375,0.9375,0.4375,0.375
"38",0.4,0.4,0.6,1,0.4
"39",0.285714285714286,0.285714285714286,0.285714285714286,1,1
"40",0.636363636363636,0.636363636363636,0.636363636363636,0.272727272727273,0.454545454545455
"41",0.666666666666667,0.666666666666667,0.777777777777778,1,0.333333333333333
"42",1,1,1,1,1
"43",0.7,0.8,0.7,0.1,1
"44",0.620689655172414,0.586206896551724,0.586206896551724,0.379310344827586,0.413793103448276
"45",0,0,0,0.3,0.1
"46",0.285714285714286,0.285714285714286,0.285714285714286,1,1
"47",0.428571428571429,0.428571428571429,0.428571428571429,1,1
"48",0.428571428571429,0.571428571428571,0.571428571428571,0.285714285714286,0.142857142857143
"49",0.2,0.2,0.2,0.4,0.4
"50",0.555555555555556,0.555555555555556,0.555555555555556,1,1
"51",0.454545454545455,0.545454545454545,0.454545454545455,0.0909090909090909,1
"52",1,1,1,1,1
"53",0,1,1,0,0
"54",0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667
"55",0.391304347826087,0.391304347826087,0.391304347826087,0.173913043478261,0.0869565217391304
"56",0.2,0.2,0.2,0.4,0.4
"57",0.291666666666667,0.291666666666667,0.291666666666667,0.0833333333333333,0.125
"58",0.6,0.8,0.8,0.4,0.4
"59",0.666666666666667,0.777777777777778,0.777777777777778,0.111111111111111,0.111111111111111
"60",0.652173913043478,0.608695652173913,0.782608695652174,0.260869565217391,0.565217391304348
"61",1,1,1,1,1
"62",0.5,0.535714285714286,0.607142857142857,0.107142857142857,0.214285714285714
"63",1,1,1,1,1
"64",0.6,0,0.8,0.4,0.2
"65",1,1,1,1,1
"66",0.947368421052632,0.947368421052632,0.947368421052632,0.421052631578947,0.421052631578947
"67",0.5,0.5,0.5,0.666666666666667,0.666666666666667
"68",0.4,0.5,0.4,0.2,0.1
"69",0.222222222222222,0.222222222222222,0.222222222222222,1,1
"70",0.25,0.25,0.25,1,1
"71",0.384615384615385,0.307692307692308,0.384615384615385,0.0769230769230769,1
"72",0.357142857142857,0.285714285714286,0.285714285714286,0.214285714285714,0.214285714285714
"73",0.608695652173913,0.608695652173913,0.608695652173913,0.304347826086957,0.434782608695652
"74",0.684210526315789,0.684210526315789,0.736842105263158,0.263157894736842,0.473684210526316
"75",0.769230769230769,0.769230769230769,0.769230769230769,0.153846153846154,0.461538461538462
"76",1,1,1,1,1
